subject,type,course,category,year,university,student_1,professor_1,professor_2,professor_3,moshaver_1,moshaver_2,moshaver_3
شناسایی ژن آنزیم سلولاز از فلور میکروبی منطقه آتشفشانی تفتان و مهندسی منطقی آن به منظور افزایش پایداری حرارتی: یک مطالعه آزمایشگاهی- محاسباتی.,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه سیستان و بلوچستان، دانشکده علوم,فاطمه محمدیان,میلاد لگزیان,N/A,N/A,N/A,N/A,N/A
طبقه بندی پروتئین ها مبتنی بر اطلاعات توالی با استفاده از اتوماتای سلولی پیوسته,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه تحصیلات تکمیلی علوم پایه زنجان، دانشکده علوم رایانه و فن‌آوری اطلاعات,سینا واعظی,مهدی وثیقی,N/A,N/A,N/A,N/A,N/A
فراتحلیل فیبروز قلبی با استفاده از مجموعه داده حاصل از توالی‌یابی RNA ترنسکریپتوم قلب,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه فردوسی مشهد، دانشکده علوم,مریم داودی,زینب نشاطی,معین فرشچیان,N/A,رضوان اسمعیلی,N/A,N/A
پیش‌بینی تعامل دارو و هدف با استفاده از روش‌های یادگیری عمیق,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه تحصیلات تکمیلی علوم پایه زنجان، دانشکده علوم رایانه و فن‌آوری اطلاعات,امیر خلیلی,زهرا نریمانی,N/A,N/A,پروین رزاقی,N/A,N/A
آنالیز بیوانفورماتیکی نحوه برهمکنش DNA با دسته ای از مشتقات N- هتروآریل استیک اسید به عنوان ترکیبات ضد سرطان,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه شهید اشرفی اصفهانی، دانشکده علوم و فناوری زیستی,زهرا السادات علوی زاده,زهرا زمانزاده,عزیزه اسدزاده,N/A,N/A,N/A,N/A
ارزیابی in silico پپتیدهای زیست فعال از منشأ سیانوباکتری‌ها در مواجه با بیماری‌های عفونی ویروسی,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه سمنان، پردیس علوم و فناوری‌های نوین - دانشکده بیوفناوری,امیر کنعانیان میانکلی,احمد فرهاد طالبی,N/A,N/A,N/A,N/A,N/A
شناسایی بیوانفورماتیکی خانواده ژنی USP در چای (Camellia sinensis) و بررسی الگوی بیانی آنها در پاسخ به تنش خشکی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه گیلان، دانشکده علوم کشاورزی,سمیرا علیزاده,علی اعلمی,N/A,N/A,امین عابدی,صنم صفائی چائی کار,N/A
مقایسه بیوانفورماتیکی و آزمایشگاهی آنزیم کوتیناز در برخی از سویه های باکتریایی و قارچی,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه علم و فرهنگ تهران، دانشکده فنی و مهندسی,آناهیتا کاظمی,شهاب الدین کرمانشاهی,N/A,N/A,N/A,N/A,N/A
مقایسه تغییرات بیان ژن ها در مغز و خون بیماران مبتلا به سندروم ALS,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه خلیج فارس، دانشکده علوم و فناوری نانو و زیستی,محمد باقر رضایی,امیر حسین احمدی,N/A,N/A,ایمان صادقی,N/A,N/A
تعیین توالی و خصوصیات آنزیم تاناز از باکتری کلبسیلا پنومونیه سویه A9,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه علوم کشاورزی و منابع طبیعی خوزستان، دانشکده علوم دامی و صنایع غذایی,بنفشه اکبری راد,محمود نظری,محمدتقی بیگی‌نصیری,N/A,طاهره محمدآبادی,N/A,N/A
EasyModel: نرم افزار بیوانفورماتیکی تحت وب برای پیش‌بینی ساختار سوم پروتئین‌ها با استفاده از نرم افزار MODELLER,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه تربیت مدرس، دانشکده علوم زیستی,علیرضا دانتیسم,سید شهریار عرب,N/A,N/A,N/A,N/A,N/A
مقایسه فعالیت آنزیم سلولاز بین تعدادی از سویه‌های باکتریائی و قارچی با استفاده از روش‌های بیوانفورماتیکی و آزمایشگاهی,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه اصفهان، دانشکده علوم و فناوری‌های نوین,مریم نعمت الهی,حسن محبت کار,ماندانا بهبهانی,N/A,N/A,N/A,N/A
شناسایی پروتئین ها و microRNA های مرتبط با آلیسین در گونه های آلیوم,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1401,دانشگاه لرستان، دانشکده کشاورزی,مهسا اسدی,فرهاد نظریان فیروزآبادی,محمدرضا نقوی,N/A,احمد اسماعیلی,N/A,N/A
مهندسی آنزیم آلکان هیدروکسیلاز (alkB1) برای بهبود عملکرد آن در تخریب زیستی پلاستیک با استفاده از ابزارهای بیوانفورماتیکی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه تربیت دبیر شهید رجایی، دانشکده مواد و فناوری‌های نوین,زهرا ژاله زاد زنجانی,سعید خلیلی,علیرضا ذاکری,N/A,زهراالسادات هاشمی,N/A,N/A
بررسی بیوانفورماتیکی پاسخهای مولکولی دخیل در مقاومت به تنشهای غیرزیستی در گندم نان,پیشنهاده,دکتری تخصصی (PhD),N/A,1401,دانشگاه شهید باهنر کرمان، دانشکده کشاورزی,حمزه امیری,علی کاظمی پور,زهرا عابدی,N/A,روح اله عبدالشاهی,N/A,N/A
مقایسه و بررسی بیوانفورماتیکی آنزیم آسپاراژیناز بین قارچ ها و باکتری ها و ارزیابی عصاره ی تعدادی از قارچ ها و باکتری های تولیدکننده آسپاراژیناز در آزمایشگاه,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه اصفهان، دانشکده علوم,نگار تفویضی,ماندانا بهبهانی,حسن محبت کار,N/A,N/A,N/A,N/A
پیش بینی miRNAs هدف‌گیرنده ژن‌های TSG6 و PLK4 و مطالعه اثر همزمان کوئرسیتین و تیموکوئینون بر بیان آن‌ها در رده سلولی MCF7,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه رازی، دانشکده علوم پایه,ملیحه محمدی نیا,علی بیدمشکی پور,سجاد سی سخت نژاد,N/A,N/A,N/A,N/A
توسعه مهارکننده‌های پپتیدی برای اهداف پروتئینی مرتبط با سرطان با استفاده از روش ساخت افزایشی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه اصفهان، دانشکده علوم و فناوری‌های نوین,فروغ فرامرزی بابادی,محمدرضا گنجعلی‌خانی,N/A,N/A,فرزانه محمدی فارسانی,N/A,N/A
بهینه‌سازی ساختار نانوبادی CD20 مهندسی‌شده به‌عنوان تومور مارکر لوکمیا لنفوبلاستیک حاد (ALL) با استفاده از روش‌های مولکولی و بیوانفورماتیک,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه یزد، پردیس علوم - گروه زیست‌شناسی,تینا رهنما,مهری خاتمی,N/A,N/A,محمد مهدی حیدری,ریحانه چمنی,N/A
مطالعه بیوانفورماتیک میانکنش سه ترپن الکلی گرانیول، بتا سیترونلول و لینالول با پروتئین AcrB باکتری E.coli,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه شهرکرد، دانشکده علوم پایه,رسول مختاری چلیچه,راضیه پوراحمد,N/A,N/A,احسان حیدری سورشجانی,N/A,N/A
بررسیاثر فلاونوئیدهای استخراج شده از دو گیاهNepeta bornmulleriوNepeta mahanensis بر روی مهار آنزیم آلفا-گلوکوزیداز برای درمان بیماری دیابت به روش شبیه سازی بیوانفورماتیک,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه پیام نور استان یزد، مرکز پیام نور تفت,فرزانه شربتی,محمدرضا دایر,N/A,N/A,فاطمه دانشمند,N/A,N/A
بررسی تغییرات و همبستگی بیان RNA های طویل غیر کد کننده ی LINC02542 وLINC01132 در نمونه های سرطان کولورکتال با استفاده از آنالیزهای بیوانفورماتیک و آزمایش qRT-PCR,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه شهید باهنر کرمان، دانشکده علوم,فاطمه جلالی منش,حسینعلی ساسان,N/A,N/A,منصوره آزاده,N/A,N/A
بررسی اثر ضدمیکروبی چندین پپتید نِف اچ آی وی 1 بر روی باکتری سودوموناس آئروژینوزا به‌صورت بیوانفورماتیکی و آزمایشگاهی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه اصفهان، دانشکده علوم و فناوری‌های نوین,ایمان کوسه لر,حسن محبت کار,ماندانا بهبهانی,N/A,N/A,N/A,N/A
بررسی بیوانفورماتیکی و بیان ژن های خانوادهCAMTA در گیاه نخود تحت شرایط تنش خشکی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه محقق اردبیلی، دانشکده کشاورزی و منابع طبیعی,میثم عالش زاده,ناصر زارع,N/A,N/A,پریسا شیخ‌زاده,رسول اصغری زکریا,N/A
پیش بینی ارتباطات محتمل بین بیماری و LncRNA,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه الزهرا (س)، دانشکده علوم ریاضی,مریم شباهنگ نیا,بهرام صادقی بی غم,N/A,N/A,N/A,N/A,N/A
بررسی بیوانفورماتیکی تعدادی حشره‌کش در شته‌ی سبز هلو به منظور انتخاب بهترین حشره‌کش,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,موسسه آموزش عالی نور دانش,نسیم قاسمی,محمدرضا زمانی,N/A,N/A,فاطمه حیدریان,N/A,N/A
- فارسی: بررسی برهم کنش ژن کد کننده ی پروتئین SFRP2با RNA طویل غیر کننده ی CHKB-AS1 و تغییرات بیان این دو ژن در نمونه های سرطان معده با استفاده از آنالیزهای بیوانفورماتیک و آزمایش qRT-PCR,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه شهید اشرفی اصفهانی، دانشکده علوم و فناوری زیستی,فاطمه حبیبی دهقی,مرتضی آبکار,N/A,N/A,زهرا زمان زاده,N/A,N/A
بررسی اثر مهاری آلکالوئیدها و فلاونوئیدهای استخراج شده از دو گیاه Nepeta bornmulleri و Nepeta mahanensis بر روی آنزیم نوروآمینیداز ویروس آنفولانزا در مقایسه‌ با داروهای ضد ویروسی رایج مهار کننده‌ی آن به روش بیوانفورماتیک,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه پیام نور استان یزد، مرکز پیام نور تفت,مهرافاق کنعانی,فاطمه دانشمند,N/A,N/A,امیرعباس مینایی‌فر,N/A,N/A
بررسی اثر لاکتوفرین بر بیان ژن‌های اتوفاژی-آپاپتوزی ATG3، ATG5و ATG12 در رده سلول سرطان پستان MCF7 و مطالعه بیوانفورماتیک شبکه-های ارتباطی و داکینگ مولکولی بین این ژن‌ها و پروتئین‌ها‌ی مرتبط با آن‌ها با پروتئین لاکتوفرین,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه علوم کشاورزی و منابع طبیعی ساری، دانشکده علوم دامی و شیلات,سیده فاطمه نورانی,فاطمه مرادیان,N/A,N/A,حوا مهر علی تبار,محمد کادووس,N/A
بررسی اثر مهاری آلکالوئیدها و فلاونوئیدهای استخراج شده از دو گیاه Nepeta bornmulleri و Nepeta mahanensis بر روی آنزیم نوروآمینیداز ویروس آنفولانزا در مقایسه‌ با داروهای ضد ویروسی رایج مهار کننده‌ی آن به روش بیوانفورماتیک,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه پیام نور استان یزد، مرکز پیام نور تفت,مهرآفاق کنعانی,فاطمه دانشمند,محمد رضا دایر,N/A,امیرعباس مینایی‌فر,N/A,N/A
بررسی اثر مهاری ترکیبات فلاونوئیدی گیاهی بر روی آنزیم پروتئین‌کیناز A موثر در بروز بیماری دیابت به روش بیوانفورماتیک در مقایسه‌‌ی با ترکیبات مهارکننده‌ی این آنزیم,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه شهید چمران اهواز، دانشکده علوم,بهناز غیبی,محمدرضا دایر,N/A,N/A,N/A,N/A,N/A
بررسی بیان ژن های درگیر در مسیر آپوپتوز(BAX و BCL-2) بعد از مواجهه سلول های سرطان کولورکتال (HT-29) با نانولیپوزوم های کاتیونی حاوی آنتی سنس ژن EGFR,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه علوم پزشکی آزاد اسلامی تهران، دانشکده علوم و فناوری‌های نوین,فاطمه جعفری,مینا صمصام شریعت,N/A,N/A,علی جبالی,N/A,N/A
"سنتز نانولیپوزوم های کاتیونی حاوی آنتی سنس LncRNA MIR4435-2HG و بررسی بیان ژن های دخیل در مسیر آپوپتوز(BAX,BCL-2) بعد از مواجهه سلول های سرطان کولورکتال (HT-29) با آنها",پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه علوم پزشکی آزاد اسلامی تهران، دانشکده علوم و فناوری‌های نوین,فردین ناموری,مینا صمصام شریعت,N/A,N/A,علی جبالی,N/A,N/A
بررسی الگوی بیانی miR-19، miR-143، miR-223، miR-301a و miR-494 در دو گروه از بیماران آلوده به ویروس SARS-CoV-2 با سطوح D-دایمر بالا و طبیعی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه تبریز، دانشکده علوم طبیعی,عمار خلو عباس کشو,نادر فرساداختر,حسین بنازاده باغی,N/A,جاوید صدری نهند,N/A,N/A
بیان ترانس ژنیک پپتیدوگلیکان هیدرولاز از فاژ باسیلوس SPP1 و مطالعه عملکرد پروتئین حاصل,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه سمنان، پردیس علوم و فناوری‌های نوین - دانشکده بیوفناوری,سپیده یزدیان پور,شکیبا درویش علیپور آستانه,شمس الضحی ابوالمعالی,N/A,N/A,N/A,N/A
ارزیابی اثر خاموش کردن ژن MSI2 با استفاده از تکنیک CRISPR/Cas9 بر قابلیت تکثیر و تهاجم رده سلولی ملانوما,پیشنهاده,کارشناسی ارشد,N/A,1401,موسسه آموزش عالی جهاد دانشگاهی اصفهان,زهرا رمضانی,کیانوش درمیانی,N/A,N/A,محبوبه فزوزانفر,N/A,N/A
تجزیه و تحلیل ژنومی و فیلوژنتیکی خانواده ژنی SQUAMOSA-PROMOTER BINDING PROTEIN-LIKE (SPL) در Carthamus tinctorius L.,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه زابل، دانشکده علوم,امین نصیرپور,عباسعلی امام جمعه,N/A,N/A,نسیبه چنارانی,N/A,N/A
استخراج پپتیدهای ضدباکتریایی از سوسک های میل ورم و بومی سمنان و بررسی فعالیت ضدباکتریایی آنها,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه سمنان، پردیس علوم و فناوری‌های نوین - دانشکده بیوفناوری,محمد حسین کریمی گورجی,شکیبا درویش علیپور آستانه,مهدی گلستانی نسب,N/A,N/A,N/A,N/A
بررسی ارتباط میزان بیان mir-124 و پروتئین SP1 در مدل حیوانی آسیب نخاعی ( SCI ) و ارتباط آن با زمان آسیب,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه علوم پزشکی و خدمات بهداشتی درمانی اراک، دانشکده پزشکی,مریم زند,مهدیه موندنی‌زاده,مهدی صادق,N/A,بهزاد خوانساری نژاد,مریم درویش,N/A
یادگیری بازنمایی عناصر زیستی-پزشکی با استفاده از گراف‌های ناهمگن,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه شهید مدنی آذربایجان، دانشکده فناوری اطلاعات و مهندسی کامپیوتر,شادی زینالی مغانجوقی,اسماعیل نورانی,N/A,N/A,عسگر علی بویر,N/A,N/A
بررسی ژن‌های تنظیمی تأثیرگذار در روند تمایز عصبی سلول‌های کارسینومای جنینیP19 با رویکرد سیستم بیولوژی,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1401,دانشگاه اصفهان، دانشکده علوم,مرضیه موذنی,زهره حجتی,N/A,N/A,فریبا اسماعیلی,N/A,N/A
طراحی، همسانه سازی و بیان آنتی ژن نوترکیب کروناویروس SARS-CoV-2 حاوی مولتی اپی توپ های پروتئین کایمریک اسپایک - نوکلئوکپسید بمنظور تشخیص سرولوژیکی بیماری COVID-19,پیشنهاده,دکتری تخصصی (PhD),N/A,1401,سازمان پژوهشهای علمی و صنعتی ایران، پژوهشکده زیست‌فناوری,سهراب سام,حمیده افقی,بهرخ فرهمند,N/A,N/A,N/A,N/A
پیش بینی ارتباط بین میکرو آران‌ای‌ها و بیماری‌ها با استفاده از روشی مبتنی بر تخصیص منابع,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه محقق اردبیلی، دانشکده فناوری‌های نوین,فاطمه ستوده گبلو,رضا حسن زاده,N/A,N/A,سهیلا شعبانی,N/A,N/A
پیش بینی ژن های در گیر در بیماری تصلب شرائین با ترکیب آنتولوژی های زیستی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه آزاد اسلامی واحد دماوند، دانشکده فنی و مهندسی,خسرو گودرزی,علی رضا مشکین,N/A,N/A,N/A,N/A,N/A
مطالعه ای برساختار توپولوژیک مولکولی برخی داروها بااستفاده از نظریه گراف,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه گلستان، دانشکده علوم پایه,زهرا سمیعی,فاطمه سادات موحدی,N/A,N/A,سیدمصطفی طاهری,N/A,N/A
تجزیه و تحلیل بیان نسبی RNA های طویل غیر کد کننده LINC01594 و VAC14-AS1 در نمونه های سرطان روده بزرگ در مقایسه با نمونه های کنترل مجاور,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه شهید اشرفی اصفهانی، دانشکده علوم و فناوری زیستی,مهسا اسفندیاری,مرتضی ابکار,N/A,N/A,زهرا زمانزاده,منصوره آزاده,N/A
بررسی الگوی بیان RNAهای غیر کدکننده بلند زنجیر (lncRNA) و تأیید نقش سرطان‌زایی آن‌ها در نمونه‌های بیماران مبتلا به سرطان معده,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1401,دانشگاه فردوسی مشهد، دانشکده علوم,نگین طاقه چیان,احمد آسوده,محمدرضا عباس زادگان,N/A,معین فرشچیان,N/A,N/A
بررسی تغییرات ساختاری پروتئین PAI-1 ( بازدارنده فعال کننده پلاسمینوژن 1 ) در فرم های فعال پروتئین با استفاده از ابزارهای بیوانفورماتیکی,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه پیام نور استان کردستان، مرکز پیام نور بیجار,سید داود ظاهریانی,حبیب اسلامی دولابی,شهریار سعیدیان,N/A,N/A,N/A,N/A
طراحی و ارزیابی یک DNA واکسن چند ظرفیتی جهت ایمنی زایی متقاطع علیه سویه های مختلف سالمونلا,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه شهید اشرفی اصفهانی، دانشکده علوم و فناوری زیستی,امیرحسین غیاثی,طاهره صادقیان,مختار نصرتی,N/A,N/A,N/A,N/A
ویرایش ژنوم باکتری باسیلوس سوبتیلیس با استفاده از فن‌آوری کریسپر به‌منظور افزایش تولید پروتئاز قلیایی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه صنعتی شریف، دانشکده مهندسی شیمی و نفت,زهرا صبوری,رضا روستا آزاد,علی محمد بنائی مقدم,N/A,N/A,N/A,N/A
بررسی میزان بیان HAR1Aدر سرطان پستان,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه اصفهان، دانشکده علوم و فناوری‌های نوین,رضوان جون بخش,صادق ولیان بروجنی,N/A,N/A,سیمین همتی,N/A,N/A
طبقه‌بندی توالی‌های پروتئینی با استفاده از خودرمزنگار تغییریافته,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه تحصیلات تکمیلی علوم پایه زنجان، دانشکده علوم رایانه و فن‌آوری اطلاعات,سید محمد حسینی,مهدی وثیقی,محسن افشارچی,N/A,N/A,N/A,N/A
کلونینگ توالی کامل و زیرتوالی‌هایی از آلفاسینوکلئین انسانی و بررسی محاسباتی برهمکنش‌ آن‌ها با برخی ترکیبات طبیعی گیاهی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه تهران، پردیس علوم - دانشکده زیست شناسی,سینتیا باغومیان سنگبارانی,مهریار امینی‌نسب,N/A,N/A,N/A,N/A,N/A
تجزیه ماتریس نامنفی کشسان با یادگیری خودآموز,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه کردستان، دانشکده فنی و مهندسی,ستاره محمدی,فردین اخلاقیان طاب,N/A,N/A,سیدامجد سیدی,N/A,N/A
بررسی بیان ژن های دخیل در القای حافظه تنش خشکی در آرابیدوپسیس تالیانا,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه فردوسی مشهد، دانشکده کشاورزی,هومن رضائی نیک,علیرضا سیفی,حسن مرعشی,N/A,N/A,N/A,N/A
اثرات ضدباکتریایی عصاره ی سیر(آلیسین) بر اشرشیاکلای با استفاده از روش های این سیلیکو,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,موسسه آموزش عالی کاویان، گروه زیست شناسی,حانیه نصری‌زاده,ماریا بیهقی,نازنین عطایی,N/A,مهسا ضابطیان حسینی,N/A,N/A
انتخاب ویژگی در داده‌های بیان ژن برای تشخیص سرطان با استفاده از الگوریتم‌های فراابتکاری,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه علامه محدث نوری، دانشکده فنی و مهندسی,الناز احسانی,علیرضا آذری مقدم,N/A,N/A,محسن نژادخیرالله,N/A,N/A
استفاده از کمپلکس آپتامر-نانوذره نقره به منظور حذف و یا کاهش بیوفیلم استرپتوکوکی بر‌روی بستره سازنده دریچه مصنوعی قلب,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1401,دانشگاه اصفهان، دانشکده علوم و فناوری‌های نوین,برومند حسینی همه ایازی,ماندانا بهبهانی,مهرناز کیهانفر,N/A,قاسم دینی,حسن محبت کار,N/A
انتخاب ویژگی در داده های میکروآرایه در تشخیص بیماری,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه الزهرا (س)، دانشکده فنی و مهندسی,مطهره اخوان,سیدمحمدحسین هاشمی‌نژاد,N/A,N/A,N/A,N/A,N/A
شناسایی و آنالیز LncRNAهای با سطوح بیان متفاوت در بافت تخمدان گوسفند با استفاده از داده‌های RNA-seq,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1401,دانشگاه تربیت مدرس، دانشکده کشاورزی,شهرام حسین زاده,علی‌اکبر مسعودی,N/A,N/A,رسول واعظ ترشیزی,علیرضا احسانی,N/A
شناسایی پروتین های کلیدی و مسیرهای پیام رسانی دخیل در سرطان سینه از نوع HER2-negative از طریق انالیز داده های پروتئومیکس و بررسی بیان ژن کلیدی با روش ازمایشگاهی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه تبریز، پردیس خودگردان,زهرا امراللهی بیوکی,محمدعلی حسینپور فیضی,رضا صفرعلیزاده,N/A,N/A,N/A,N/A
بیشینه کردن کارایی الگوریتم‌های پیش‌بینی پیوند بدون ناظر با ترکیب مؤثر‌ روش‌های محلی و سراسری,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه کردستان، دانشکده فنی و مهندسی,شاهو بی نیاز,صادق سلیمانی,N/A,N/A,N/A,N/A,N/A
"طراحی و ساخت سیستم ژن‌رسانی بر پایه نانوذرات سیلیکا جهت انتقال کاست ژنی حاوی ژن Noggin به رده سلول سرطانی کبد HEPG2 و مطالعه اثرات آن در مهار ژن های BMP2,4,7",پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه مراغه، دانشکده علوم پایه,سارا آریش,فرخ کریمی,محسن سقا,N/A,N/A,N/A,N/A
شناسایی و انتخاب ترکیبات مهارکننده برهمکنش پروتئین S از ویروس SARS-COV-2 و پروتئین ACE2 از انسان با استفاده ترکیبات طبیعی با منشا عصاره گلاب: با رویکرد داکینگ مولکولی,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه قم، دانشکده علوم پایه,محدثه طالقانی,ابراهیم هنرمند,رضا صفری,N/A,حوریه کلهر,مریم خیاط کاشانی,N/A
بررسی تغییرات بیانی ژن STAT3 و hsa-let-7c/e ترشحی در رده سلولی SKOV3 سرطان تخمدان در پی تیمار با داروی Carboplatin,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه علوم پزشکی آزاد اسلامی تهران، دانشکده علوم و فناوری‌های نوین,فرحان نجفی,مینو شاهانی,N/A,N/A,N/A,N/A,N/A
کلونینگ مولکولی اندولیزین فاژ KP27 باکتری کلبسیلا در پلاسمید بیانی pET28a,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه ارومیه، دانشکده دامپزشکی,فاطمه رحمتی,مهدی ایمانی,N/A,N/A,صفیه آقازاده,N/A,N/A
استفاده از روش‌های مختلف مولد و توابع اجماع برای ساخت الگوریتم‌های خوشه‌بندی مرکب,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه یزد، پردیس علوم - دانشکده علوم ریاضی,آرزو عاقلی یزدی,الهام عباسی هرفته,سیدابوالفضل شاهزاده فاضلی,N/A,N/A,N/A,N/A
مطالعه تغییرات بیان miR-149-3p و miR-143-3p و ژن هدف سرین ترئونین کیناز AKT1 در رده سلولی 7-MCF سرطان پستان در پی تیمار دارویی تاموکسیفن,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه ‌آزاد اسلامی واحد تهران شرق - قیام دشت، دانشکده علوم پایه,زهرا فرخنده خوی فرد,فرانک جمشیدیان,N/A,N/A,N/A,N/A,N/A
شناسایی ژنهای درگیر در بیوسنتز کوئرستین، کامفرول و مورین، در گیاه دارویی گلدر Otostegia persica (Burm. f.) Boiss با استفاده از آنالیز داده های RNA seq,پیشنهاده,دکتری تخصصی (PhD),N/A,1401,دانشگاه شهید بهشتی، دانشکده علوم و فناوری زیستی,مهدیه صفرزاده,مسعود توحیدفر,N/A,N/A,N/A,N/A,N/A
ارزیابی رابطه بین سطوح سرمی اسپکسین و پلی مورفیسم ژن آن با حساسیت به دیابت نوع 2 در جمعیت زنان عراق,پیشنهاده,کارشناسی ارشد,N/A,1401,دانشگاه اراک، دانشکده علوم پایه,فضاء السالم,امیر جلالی,N/A,N/A,جواد سرگلزائی,N/A,N/A
سنجش سمیت ترکیبات حاوی نیتریت و نیترات به کمک ویبریو MM1 جدا شده از دریای مازندران و بررسی مولکولی ژن‌های لوکس,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه مازندران، دانشکده علوم پایه,زهرا مباشر امینی,مجتبی محسنی,N/A,N/A,محمد جواد چایچی,N/A,N/A
تجزیه و تحلیل یکپارچه ترنسکریپتومیکس بافت مغز، خون و کبد افراد مبتلا به اختلال مصرف الکل,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه سیستان و بلوچستان، دانشکده علوم,سیده شیما موسوی,سمانه رئیس‌زاده جهرمی,نگار آذرپیرا,N/A,آیه بلوکی,N/A,N/A
شناسایی ژن های دخیل در بیماریزایی قارچ Puccinia graminis f.sp. tritici در برهمکنش با گندم با استفاده از تلفیق روش های امیکس,پیشنهاده,دکتری تخصصی (PhD),N/A,1401,دانشگاه تربیت مدرس، دانشکده کشاورزی,ناهید اسپرغم,منصور کریمی جشنی,N/A,N/A,محمدرضا عتیقی,N/A,N/A
هدف قرار دادن پروتئین HNF4A از طریق طراحی اپی توپ های موثر به منظور درمان سرطان معده,پارسای داخل کشور,کارشناسی ارشد,N/A,1401,دانشگاه زنجان، دانشکده علوم,مرتضی احمدی پس کوهانی,مرضیه دهقان,N/A,N/A,وهب جعفریان,N/A,N/A
